高 0 1 B 高 B-NAME
院 17 20 E 院 E-ORG
国 21 22 B 国 B-PRO
际 21 22 E 际 M-PRO
贸 23 24 B 贸 M-PRO
易 23 24 E 易 M-PRO
专 25 26 B 专 M-PRO
业 25 26 E 业 E-PRO
硕 27 28 B 硕 B-EDU
士 27 28 E 士 M-EDU
研 29 31 B 研 M-EDU
究 29 31 M 究 M-EDU
生 29 31 E 生 E-EDU
。 32 32 S 。 O
 
1 0 4 B 1 O
9 0 4 M 9 O
8 0 4 M 8 O
7 0 4 M 7 O
年 0 4 E 年 O
7 5 6 B 7 O
月 5 6 E 月 O
- 7 7 S - O
1 8 12 B 1 O
9 8 12 M 9 O
9 8 12 M 9 O
5 8 12 M 5 O
年 8 12 E 年 O
5 13 14 B 5 O
月 13 14 E 月 O
任 15 15 S 任 O
甘 16 18 B 甘 B-ORG
肃 16 18 M 肃 M-ORG
省 16 18 E 省 M-ORG
友 19 20 B 友 M-ORG
谊 19 20 E 谊 M-ORG
公 21 22 B 公 M-ORG
司 21 22 E 司 E-ORG
主 23 24 B 主 B-TITLE
管 23 24 E 管 M-TITLE
会 25 26 B 会 M-TITLE
计 25 26 E 计 E-TITLE
、 27 27 S 、 O
第 28 29 B 第 B-TITLE
二 28 29 E 二 M-TITLE
经 30 32 B 经 M-TITLE
营 30 32 M 营 M-TITLE
部 30 32 E 部 M-TITLE
副 33 35 B 副 M-TITLE
经 33 35 M 经 M-TITLE
理 33 35 E 理 E-TITLE
， 36 36 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
5 0 4 M 5 O
年 0 4 E 年 O
5 5 6 B 5 O
月 5 6 E 月 O
- 7 8 B - O
- 7 8 E - O
2 9 13 B 2 O
0 9 13 M 0 O
1 9 13 M 1 O
0 9 13 M 0 O
年 9 13 E 年 O
2 14 15 B 2 O
月 14 15 E 月 O
历 16 17 B 历 O
任 16 17 E 任 O
华 18 19 B 华 B-ORG
为 18 19 E 为 M-ORG
技 20 21 B 技 M-ORG
术 20 21 E 术 M-ORG
有 22 23 B 有 M-ORG
限 22 23 E 限 M-ORG
公 24 25 B 公 M-ORG
司 24 25 E 司 E-ORG
财 26 27 B 财 B-TITLE
务 26 27 E 务 M-TITLE
经 28 29 B 经 M-TITLE
理 28 29 E 理 E-TITLE
、 30 30 S 、 O
山 31 33 B 山 B-ORG
东 31 33 M 东 M-ORG
华 31 33 E 华 M-ORG
为 34 34 S 为 E-ORG
副 35 38 B 副 B-TITLE
总 35 38 M 总 M-TITLE
经 35 38 M 经 M-TITLE
理 35 38 E 理 E-TITLE
、 39 39 S 、 O
河 40 42 B 河 B-ORG
北 40 42 M 北 M-ORG
华 40 42 E 华 M-ORG
为 43 43 S 为 E-ORG
副 44 47 B 副 B-TITLE
总 44 47 M 总 M-TITLE
经 44 47 M 经 M-TITLE
理 44 47 E 理 E-TITLE
、 48 48 S 、 O
乌 49 51 B 乌 B-ORG
克 49 51 M 克 M-ORG
兰 49 51 E 兰 M-ORG
华 52 53 B 华 M-ORG
为 52 53 E 为 E-ORG
财 54 55 B 财 B-TITLE
经 54 55 E 经 M-TITLE
管 56 57 B 管 M-TITLE
理 56 57 E 理 M-TITLE
部 58 59 B 部 M-TITLE
长 58 59 E 长 E-TITLE
等 60 60 S 等 O
职 61 62 B 职 O
务 61 62 E 务 O
。 63 63 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
北 2 3 B 北 B-ORG
京 2 3 E 京 M-ORG
鼎 4 5 B 鼎 M-ORG
汉 4 5 E 汉 M-ORG
技 6 7 B 技 M-ORG
术 6 7 E 术 M-ORG
股 8 9 B 股 M-ORG
份 8 9 E 份 M-ORG
有 10 11 B 有 M-ORG
限 10 11 E 限 M-ORG
公 12 13 B 公 M-ORG
司 12 13 E 司 E-ORG
董 14 16 B 董 B-TITLE
事 14 16 M 事 M-TITLE
会 14 16 E 会 M-TITLE
董 17 18 B 董 M-TITLE
事 17 18 E 事 E-TITLE
、 19 19 S 、 O
副 20 22 B 副 B-TITLE
总 20 22 M 总 M-TITLE
裁 20 22 E 裁 E-TITLE
。 23 23 S 。 O
 
陈 0 2 B 陈 B-NAME
云 0 2 M 云 M-NAME
峰 0 2 E 峰 E-NAME
先 3 4 B 先 O
生 3 4 E 生 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
2 0 4 M 2 O
年 0 4 E 年 O
毕 5 7 B 毕 O
业 5 7 M 业 O
于 5 7 E 于 O
中 8 9 B 中 B-ORG
国 8 9 E 国 M-ORG
人 10 11 B 人 M-ORG
民 10 11 E 民 M-ORG
大 12 13 B 大 M-ORG
学 12 13 E 学 M-ORG
会 14 16 B 会 M-ORG
计 14 16 M 计 M-ORG
系 14 16 E 系 E-ORG
， 17 17 S ， O
获 18 18 S 获 O
学 19 20 B 学 B-EDU
士 19 20 E 士 M-EDU
学 21 22 B 学 M-EDU
位 21 22 E 位 E-EDU
； 23 23 S ； O
 
1 0 4 B 1 O
9 0 4 M 9 O
9 0 4 M 9 O
2 0 4 M 2 O
年 0 4 E 年 O
至 5 5 S 至 O
1 6 10 B 1 O
9 6 10 M 9 O
9 6 10 M 9 O
3 6 10 M 3 O
年 6 10 E 年 O
于 11 11 S 于 O
外 12 14 B 外 B-ORG
交 12 14 M 交 M-ORG
部 12 14 E 部 E-ORG
财 15 17 B 财 B-TITLE
务 15 17 M 务 M-TITLE
司 15 17 E 司 M-TITLE
二 18 19 B 二 M-TITLE
处 18 19 E 处 E-TITLE
工 20 21 B 工 O
作 20 21 E 作 O
； 22 22 S ； O
 
先 0 1 B 先 O
后 0 1 E 后 O
担 2 3 B 担 O
任 2 3 E 任 O
北 4 5 B 北 B-ORG
京 4 5 E 京 M-ORG
中 6 6 S 中 M-ORG
银 7 8 B 银 M-ORG
信 7 8 E 信 M-ORG
咨 9 10 B 咨 M-ORG
询 9 10 E 询 M-ORG
有 11 12 B 有 M-ORG
限 11 12 E 限 M-ORG
责 13 14 B 责 M-ORG
任 13 14 E 任 M-ORG
公 15 16 B 公 M-ORG
司 15 16 E 司 E-ORG
总 17 19 B 总 B-TITLE
经 17 19 M 经 M-TITLE
理 17 19 E 理 E-TITLE
和 20 20 S 和 O
凤 21 22 B 凤 B-ORG
凰 21 22 E 凰 M-ORG
城 23 24 B 城 M-ORG
房 23 24 E 房 M-ORG
地 25 26 B 地 M-ORG
产 25 26 E 产 M-ORG
开 27 28 B 开 M-ORG
发 27 28 E 发 M-ORG
集 29 30 B 集 M-ORG
团 29 30 E 团 M-ORG
有 31 32 B 有 M-ORG
限 31 32 E 限 M-ORG
公 33 34 B 公 M-ORG
司 33 34 E 司 E-ORG
、 35 35 S 、 O
北 36 38 B 北 B-ORG
京 36 38 M 京 M-ORG
市 36 38 E 市 M-ORG
保 39 40 B 保 M-ORG
福 39 40 E 福 M-ORG
房 41 43 B 房 M-ORG
地 41 43 M 地 M-ORG
产 41 43 E 产 M-ORG
开 44 45 B 开 M-ORG
发 44 45 E 发 M-ORG
有 46 47 B 有 M-ORG
限 46 47 E 限 M-ORG
公 48 49 B 公 M-ORG
司 48 49 E 司 E-ORG
、 50 50 S 、 O
北 51 52 B 北 B-ORG
京 51 52 E 京 M-ORG
新 53 53 S 新 M-ORG
天 54 55 B 天 M-ORG
麓 54 55 E 麓 M-ORG
房 56 58 B 房 M-ORG
地 56 58 M 地 M-ORG
产 56 58 E 产 M-ORG
开 59 60 B 开 M-ORG
发 59 60 E 发 M-ORG
有 61 62 B 有 M-ORG
限 61 62 E 限 M-ORG
公 63 64 B 公 M-ORG
司 63 64 E 司 E-ORG
副 65 68 B 副 B-TITLE
总 65 68 M 总 M-TITLE
经 65 68 M 经 M-TITLE
理 65 68 E 理 E-TITLE
以 69 70 B 以 O
及 69 70 E 及 O
北 71 72 B 北 B-ORG
京 71 72 E 京 M-ORG
中 73 74 B 中 M-ORG
经 73 74 E 经 M-ORG
大 75 76 B 大 M-ORG
厦 75 76 E 厦 M-ORG
物 77 78 B 物 M-ORG
业 77 78 E 业 M-ORG
管 79 80 B 管 M-ORG
理 79 80 E 理 M-ORG
有 81 82 B 有 M-ORG
限 81 82 E 限 M-ORG
责 83 84 B 责 M-ORG
任 83 84 E 任 M-ORG
公 85 86 B 公 M-ORG
司 85 86 E 司 E-ORG
、 87 87 S 、 O
北 88 89 B 北 B-ORG
京 88 89 E 京 M-ORG
博 90 92 B 博 M-ORG
雅 90 92 M 雅 M-ORG
苑 90 92 E 苑 M-ORG
置 93 94 B 置 M-ORG
业 93 94 E 业 M-ORG
有 95 96 B 有 M-ORG
限 95 96 E 限 M-ORG
公 97 98 B 公 M-ORG
司 97 98 E 司 E-ORG
董 99 101 B 董 B-TITLE
事 99 101 M 事 M-TITLE
长 99 101 E 长 E-TITLE
及 102 102 S 及 O
集 103 104 B 集 B-ORG
团 103 104 E 团 E-ORG
执 105 106 B 执 B-TITLE
行 105 106 E 行 M-TITLE
董 107 108 B 董 M-TITLE
事 107 108 E 事 E-TITLE
， 109 109 S ， O
曾 110 110 S 曾 O
任 111 112 B 任 O
本 111 112 E 本 B-ORG
公 113 114 B 公 M-ORG
司 113 114 E 司 E-ORG
监 115 116 B 监 B-TITLE
事 115 116 E 事 E-TITLE
。 117 117 S 。 O
 
杨 0 1 B 杨 B-NAME
帆 0 1 E 帆 E-NAME
， 2 2 S ， O
男 3 3 S 男 O
， 4 4 S ， O
经 5 7 B 经 B-PRO
济 5 7 M 济 M-PRO
学 5 7 E 学 E-PRO
博 8 9 B 博 B-EDU
士 8 9 E 士 E-EDU
。 10 10 S 。 O
 
杨 0 1 B 杨 B-NAME
帆 0 1 E 帆 E-NAME
先 2 3 B 先 O
生 2 3 E 生 O
曾 4 4 S 曾 O
任 5 5 S 任 O
天 6 7 B 天 B-ORG
津 6 7 E 津 M-ORG
开 8 10 B 开 M-ORG
发 8 10 M 发 M-ORG
区 8 10 E 区 M-ORG
研 11 13 B 研 M-ORG
究 11 13 M 究 M-ORG
所 11 13 E 所 E-ORG
所 14 15 B 所 B-TITLE
长 14 15 E 长 E-TITLE
、 16 16 S 、 O
国 17 18 B 国 B-ORG
家 17 18 E 家 M-ORG
物 19 21 B 物 M-ORG
价 19 21 M 价 M-ORG
局 19 21 E 局 E-ORG
涉 22 23 B 涉 B-TITLE
外 22 23 E 外 M-TITLE
价 24 25 B 价 M-TITLE
格 24 25 E 格 M-TITLE
司 26 27 B 司 M-TITLE
进 26 27 E 进 M-TITLE
出 28 30 B 出 M-TITLE
口 28 30 M 口 M-TITLE
处 28 30 E 处 M-TITLE
副 31 33 B 副 M-TITLE
处 31 33 M 处 M-TITLE
长 31 33 E 长 E-TITLE
、 34 34 S 、 O
中 35 36 B 中 B-ORG
国 35 36 E 国 M-ORG
社 37 38 B 社 M-ORG
会 37 38 E 会 M-ORG
科 39 41 B 科 M-ORG
学 39 41 M 学 M-ORG
院 39 41 E 院 M-ORG
经 42 43 B 经 M-ORG
济 42 43 E 济 M-ORG
研 44 46 B 研 M-ORG
究 44 46 M 究 M-ORG
所 44 46 E 所 E-ORG
研 47 49 B 研 B-TITLE
究 47 49 M 究 M-TITLE
员 47 49 E 员 E-TITLE
。 50 50 S 。 O
 
现 0 1 B 现 O
任 0 1 E 任 O
中 2 3 B 中 B-ORG
国 2 3 E 国 M-ORG
政 4 5 B 政 M-ORG
法 4 5 E 法 M-ORG
大 6 7 B 大 M-ORG
学 6 7 E 学 M-ORG
商 8 10 B 商 M-ORG
学 8 10 M 学 M-ORG
院 8 10 E 院 E-ORG
教 11 12 B 教 B-TITLE
授 11 12 E 授 E-TITLE
、 13 13 S 、 O
博 14 16 B 博 B-TITLE
士 14 16 M 士 M-TITLE
生 14 16 E 生 M-TITLE
导 17 18 B 导 M-TITLE
师 17 18 E 师 E-TITLE
， 19 19 S ， O
湖 20 21 B 湖 B-ORG
北 20 21 E 北 M-ORG
天 22 23 B 天 M-ORG
华 22 23 E 华 M-ORG
股 24 25 B 股 M-ORG
份 24 25 E 份 M-ORG
有 26 27 B 有 M-ORG
限 26 27 E 限 M-ORG
公 28 29 B 公 M-ORG
司 28 29 E 司 E-ORG
独 30 31 B 独 B-TITLE
立 30 31 E 立 M-TITLE
董 32 33 B 董 M-TITLE
事 32 33 E 事 E-TITLE
。 34 34 S 。 O
 
贾 0 2 B 贾 B-NAME
志 0 2 M 志 M-NAME
颖 0 2 E 颖 E-NAME
女 3 4 B 女 O
士 3 4 E 士 O
： 5 5 S ： O
1 6 10 B 1 O
9 6 10 M 9 O
7 6 10 M 7 O
1 6 10 M 1 O
年 6 10 E 年 O
出 11 12 B 出 O
生 11 12 E 生 O
， 13 13 S ， O
中 14 15 B 中 B-CONT
国 14 15 E 国 M-CONT
国 16 17 B 国 M-CONT
籍 16 17 E 籍 E-CONT
， 18 18 S ， O
无 19 20 B 无 O
境 19 20 E 境 O
外 21 23 B 外 O
永 21 23 M 永 O
久 21 23 E 久 O
居 24 26 B 居 O
留 24 26 M 留 O
权 24 26 E 权 O
， 27 27 S ， O
本 28 29 B 本 B-EDU
科 28 29 E 科 M-EDU
学 30 31 B 学 M-EDU
历 30 31 E 历 E-EDU
。 32 32 S 。 O
 
历 0 1 B 历 O
任 0 1 E 任 O
天 2 4 B 天 B-ORG
津 2 4 M 津 M-ORG
市 2 4 E 市 M-ORG
化 5 6 B 化 M-ORG
工 5 6 E 工 M-ORG
原 7 8 B 原 M-ORG
料 7 8 E 料 M-ORG
总 9 11 B 总 M-ORG
公 9 11 M 公 M-ORG
司 9 11 E 司 E-ORG
综 12 13 B 综 B-TITLE
合 12 13 E 合 M-TITLE
分 14 16 B 分 M-TITLE
公 14 16 M 公 M-TITLE
司 14 16 E 司 M-TITLE
会 17 18 B 会 M-TITLE
计 17 18 E 计 M-TITLE
主 19 20 B 主 M-TITLE
管 19 20 E 管 E-TITLE
， 21 21 S ， O
天 22 23 B 天 B-ORG
津 22 23 E 津 M-ORG
新 24 24 S 新 M-ORG
星 25 26 B 星 M-ORG
文 25 26 E 文 M-ORG
教 27 28 B 教 M-ORG
学 27 28 E 学 M-ORG
具 29 29 S 具 M-ORG
有 30 31 B 有 M-ORG
限 30 31 E 限 M-ORG
公 32 33 B 公 M-ORG
司 32 33 E 司 E-ORG
财 34 35 B 财 B-TITLE
务 34 35 E 务 M-TITLE
经 36 37 B 经 M-TITLE
理 36 37 E 理 E-TITLE
， 38 38 S ， O
G 39 42 B G B-ORG
M 39 42 M M M-ORG
P 39 42 M P M-ORG
T 39 42 E T M-ORG
（ 43 43 S （ M-ORG
天 44 45 B 天 M-ORG
津 44 45 E 津 M-ORG
） 46 46 S ） M-ORG
发 47 48 B 发 M-ORG
展 47 48 E 展 M-ORG
有 49 50 B 有 M-ORG
限 49 50 E 限 M-ORG
公 51 52 B 公 M-ORG
司 51 52 E 司 E-ORG
财 53 54 B 财 B-TITLE
务 53 54 E 务 M-TITLE
经 55 56 B 经 M-TITLE
理 55 56 E 理 E-TITLE
， 57 57 S ， O
天 58 59 B 天 B-ORG
津 58 59 E 津 M-ORG
赛 60 61 B 赛 M-ORG
象 60 61 E 象 M-ORG
科 62 63 B 科 M-ORG
技 62 63 E 技 M-ORG
股 64 65 B 股 M-ORG
份 64 65 E 份 M-ORG
有 66 67 B 有 M-ORG
限 66 67 E 限 M-ORG
公 68 69 B 公 M-ORG
司 68 69 E 司 E-ORG
会 70 71 B 会 B-TITLE
计 70 71 E 计 E-TITLE
， 72 72 S ， O
现 73 74 B 现 O
任 73 74 E 任 O
天 75 77 B 天 B-ORG
津 75 77 M 津 M-ORG
赛 75 77 E 赛 M-ORG
象 78 78 S 象 M-ORG
酒 79 80 B 酒 M-ORG
店 79 80 E 店 M-ORG
有 81 82 B 有 M-ORG
限 81 82 E 限 M-ORG
公 83 84 B 公 M-ORG
司 83 84 E 司 E-ORG
财 85 87 B 财 B-TITLE
务 85 87 M 务 M-TITLE
部 85 87 E 部 M-TITLE
经 88 89 B 经 M-TITLE
理 88 89 E 理 E-TITLE
， 90 90 S ， O
公 91 92 B 公 B-ORG
司 91 92 E 司 E-ORG
监 93 94 B 监 B-TITLE
事 93 94 E 事 E-TITLE
。 95 95 S 。 O
 
段 0 0 S 段 B-NAME
继 1 2 B 继 M-NAME
东 1 2 E 东 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
汉 6 7 B 汉 B-RACE
族 6 7 E 族 E-RACE
， 8 8 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
5 0 4 M 5 O
年 0 4 E 年 O
5 5 6 B 5 O
月 5 6 E 月 O
出 7 8 B 出 O
生 7 8 E 生 O
， 9 9 S ， O
本 10 11 B 本 B-EDU
科 10 11 E 科 M-EDU
学 12 13 B 学 M-EDU
历 12 13 E 历 E-EDU
。 14 14 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
山 2 3 B 山 B-ORG
东 2 3 E 东 M-ORG
齐 4 5 B 齐 M-ORG
鲁 4 5 E 鲁 M-ORG
制 6 7 B 制 M-ORG
药 6 7 E 药 M-ORG
集 8 9 B 集 M-ORG
团 8 9 E 团 E-ORG
副 10 13 B 副 B-TITLE
总 10 13 M 总 M-TITLE
经 10 13 M 经 M-TITLE
理 10 13 E 理 E-TITLE
、 14 14 S 、 O
贵 15 16 B 贵 B-ORG
州 15 16 E 州 M-ORG
神 17 18 B 神 M-ORG
奇 17 18 E 奇 M-ORG
制 19 20 B 制 M-ORG
药 19 20 E 药 M-ORG
有 21 22 B 有 M-ORG
限 21 22 E 限 M-ORG
公 23 24 B 公 M-ORG
司 23 24 E 司 E-ORG
常 25 26 B 常 B-TITLE
务 25 26 E 务 M-TITLE
副 27 30 B 副 M-TITLE
总 27 30 M 总 M-TITLE
经 27 30 M 经 M-TITLE
理 27 30 E 理 E-TITLE
、 31 31 S 、 O
昆 32 33 B 昆 B-ORG
明 32 33 E 明 M-ORG
制 34 35 B 制 M-ORG
药 34 35 E 药 M-ORG
股 36 37 B 股 M-ORG
份 36 37 E 份 M-ORG
有 38 39 B 有 M-ORG
限 38 39 E 限 M-ORG
公 40 41 B 公 M-ORG
司 40 41 E 司 E-ORG
总 42 43 B 总 B-TITLE
裁 42 43 E 裁 E-TITLE
等 44 44 S 等 O
职 45 46 B 职 O
务 45 46 E 务 O
。 47 47 S 。 O
 
现 0 2 B 现 O
任 0 2 M 任 O
仁 0 2 E 仁 B-ORG
和 3 3 S 和 M-ORG
药 4 5 B 药 M-ORG
业 4 5 E 业 M-ORG
股 6 7 B 股 M-ORG
份 6 7 E 份 M-ORG
有 8 9 B 有 M-ORG
限 8 9 E 限 M-ORG
公 10 11 B 公 M-ORG
司 10 11 E 司 E-ORG
独 12 13 B 独 B-TITLE
立 12 13 E 立 M-TITLE
董 14 15 B 董 M-TITLE
事 14 15 E 事 E-TITLE
， 16 16 S ， O
北 17 18 B 北 B-ORG
京 17 18 E 京 M-ORG
时 19 20 B 时 M-ORG
代 19 20 E 代 M-ORG
方 21 22 B 方 M-ORG
略 21 22 E 略 M-ORG
企 23 24 B 企 M-ORG
业 23 24 E 业 M-ORG
咨 25 26 B 咨 M-ORG
询 25 26 E 询 M-ORG
公 27 28 B 公 M-ORG
司 27 28 E 司 E-ORG
董 29 31 B 董 B-TITLE
事 29 31 M 事 M-TITLE
长 29 31 E 长 E-TITLE
。 32 32 S 。 O
 
张 0 0 S 张 B-NAME
礼 1 2 B 礼 M-NAME
进 1 2 E 进 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
7 0 4 M 7 O
1 0 4 M 1 O
年 0 4 E 年 O
6 5 6 B 6 O
月 5 6 E 月 O
出 7 8 B 出 O
生 7 8 E 生 O
， 9 9 S ， O
毕 10 12 B 毕 O
业 10 12 M 业 O
于 10 12 E 于 O
吉 13 14 B 吉 B-ORG
林 13 14 E 林 M-ORG
大 15 16 B 大 M-ORG
学 15 16 E 学 E-ORG
数 17 18 B 数 B-PRO
量 17 18 E 量 M-PRO
经 19 21 B 经 M-PRO
济 19 21 M 济 M-PRO
学 19 21 E 学 M-PRO
专 22 23 B 专 M-PRO
业 22 23 E 业 E-PRO
， 24 24 S ， O
硕 25 26 B 硕 B-EDU
士 25 26 E 士 M-EDU
研 27 29 B 研 M-EDU
究 27 29 M 究 M-EDU
生 27 29 E 生 E-EDU
， 30 30 S ， O
经 31 33 B 经 B-TITLE
济 31 33 M 济 M-TITLE
师 31 33 E 师 E-TITLE
。 34 34 S 。 O
 
曾 0 0 S 曾 O
任 1 1 S 任 O
中 2 3 B 中 B-ORG
国 2 3 E 国 M-ORG
软 4 5 B 软 M-ORG
件 4 5 E 件 M-ORG
与 6 6 S 与 M-ORG
技 7 8 B 技 M-ORG
术 7 8 E 术 M-ORG
服 9 10 B 服 M-ORG
务 9 10 E 务 M-ORG
股 11 12 B 股 M-ORG
份 11 12 E 份 M-ORG
有 13 14 B 有 M-ORG
限 13 14 E 限 M-ORG
公 15 16 B 公 M-ORG
司 15 16 E 司 E-ORG
党 17 18 B 党 B-TITLE
群 17 18 E 群 M-TITLE
